2020-11-13 13:04:28,419 - ERROR - aya - модуль:"dataCheck":43 - "0420502 —правка о стоимости _14"; строка(11), колонка(4) --> параметр: "ѕор€дковый номер филиала кредитной организации" ==> "-"
2020-11-13 13:04:28,456 - ERROR - aya - модуль:"dataCheck":43 - "0420502 —правка о стоимости _24"; строка(11), колонка(6) --> параметр: " од ISIN (если присвоен)" ==> "-"
2020-11-13 13:04:28,457 - ERROR - aya - модуль:"dataCheck":43 - "0420502 —правка о стоимости _24"; строка(11), колонка(11) --> параметр: "Ќаименование биржи" ==> "-"
2020-11-13 13:04:28,457 - ERROR - aya - модуль:"dataCheck":43 - "0420502 —правка о стоимости _24"; строка(12), колонка(6) --> параметр: " од ISIN (если присвоен)" ==> "-"
2020-11-13 13:04:28,459 - ERROR - aya - модуль:"dataCheck":43 - "0420502 —правка о стоимости _24"; строка(12), колонка(11) --> параметр: "Ќаименование биржи" ==> "-"
2020-11-13 13:04:28,460 - ERROR - aya - модуль:"dataCheck":43 - "0420502 —правка о стоимости _24"; строка(13), колонка(6) --> параметр: " од ISIN (если присвоен)" ==> "-"
2020-11-13 13:04:28,461 - ERROR - aya - модуль:"dataCheck":43 - "0420502 —правка о стоимости _24"; строка(13), колонка(11) --> параметр: "Ќаименование биржи" ==> "-"
2020-11-13 13:04:28,557 - ERROR - aya - модуль:"dataCheck":43 - "0420502 —правка о стоимости _42"; строка(13), колонка(10) --> параметр: "—пособ обеспечени€ исполнени€ об€зательств по договору" ==> "-"
2020-11-13 13:04:28,558 - ERROR - aya - модуль:"dataCheck":43 - "0420502 —правка о стоимости _42"; строка(14), колонка(10) --> параметр: "—пособ обеспечени€ исполнени€ об€зательств по договору" ==> "-"
