ERROR - "0420502 —правка о стоимости _14"; строка(11), колонка(4) --> параметр: "ѕор€дковый номер филиала кредитной организации" ==> "-"
ERROR - "0420502 —правка о стоимости _24"; строка(11), колонка(6) --> параметр: " од ISIN (если присвоен)" ==> "-"
ERROR - "0420502 —правка о стоимости _24"; строка(11), колонка(11) --> параметр: "Ќаименование биржи" ==> "-"
ERROR - "0420502 —правка о стоимости _24"; строка(12), колонка(6) --> параметр: " од ISIN (если присвоен)" ==> "-"
ERROR - "0420502 —правка о стоимости _24"; строка(12), колонка(11) --> параметр: "Ќаименование биржи" ==> "-"
ERROR - "0420502 —правка о стоимости _24"; строка(13), колонка(6) --> параметр: " од ISIN (если присвоен)" ==> "-"
ERROR - "0420502 —правка о стоимости _24"; строка(13), колонка(11) --> параметр: "Ќаименование биржи" ==> "-"
ERROR - "0420502 —правка о стоимости _42"; строка(13), колонка(10) --> параметр: "—пособ обеспечени€ исполнени€ об€зательств по договору" ==> "-"
ERROR - "0420502 —правка о стоимости _42"; строка(14), колонка(10) --> параметр: "—пособ обеспечени€ исполнени€ об€зательств по договору" ==> "-"
